epoch,loss,acc
294,0.2944,0.86
295,0.2949,0.86
296,0.2951,0.86
297,0.2943,0.86
298,0.2932,0.86
299,0.2929,0.86
300,0.2921,0.86
301,0.2922,0.86
302,0.2922,0.86
303,0.2917,0.86
304,0.2921,0.86
305,0.2928,0.86
306,0.2932,0.86
307,0.2933,0.86
308,0.2924,0.86
309,0.2904,0.86
310,0.29,0.86
311,0.2894,0.86
312,0.2895,0.86
313,0.2893,0.86
314,0.2896,0.86
315,0.2889,0.86
316,0.2888,0.86
317,0.2892,0.86
318,0.2889,0.86
319,0.2885,0.86
320,0.2891,0.86
321,0.2884,0.86
322,0.288,0.86
323,0.2876,0.86
324,0.2881,0.86
325,0.2873,0.86
326,0.2868,0.86
327,0.2869,0.86
328,0.2869,0.86
329,0.287,0.86
330,0.2868,0.86
331,0.2864,0.86
332,0.2865,0.86
333,0.2862,0.86
334,0.2859,0.86
335,0.2857,0.86
336,0.2851,0.86
337,0.2852,0.86
338,0.285,0.86
339,0.2854,0.86
340,0.2854,0.86
341,0.2846,0.86
342,0.2843,0.86
343,0.2841,0.86
344,0.284,0.86
345,0.284,0.86
346,0.2834,0.86
347,0.2841,0.86
348,0.2841,0.86
349,0.2848,0.86
350,0.2849,0.86
351,0.2847,0.86
352,0.284,0.86
353,0.2834,0.86
354,0.285,0.86
355,0.282,0.86
356,0.2824,0.86
357,0.2821,0.86
358,0.2827,0.86
359,0.2825,0.86
360,0.2832,0.86
361,0.2847,0.86
362,0.2857,0.86
363,0.2838,0.86
364,0.2823,0.86
365,0.2835,0.86
366,0.2824,0.86
367,0.2826,0.86
368,0.282,0.86
369,0.2813,0.86
370,0.282,0.86
371,0.2817,0.86
372,0.282,0.86
373,0.2828,0.86
374,0.2825,0.86
375,0.2818,0.86
376,0.2815,0.86
377,0.2799,0.86
378,0.2789,0.86
379,0.2783,0.86
380,0.2799,0.86
381,0.2789,0.86
382,0.2792,0.86
383,0.2791,0.86
384,0.2786,0.86
385,0.2786,0.86
386,0.2788,0.86
387,0.2783,0.86
388,0.2778,0.86
389,0.2778,0.86
390,0.2782,0.86
391,0.2778,0.86
392,0.2779,0.86
393,0.2778,0.86
394,0.2777,0.86
395,0.2774,0.86
396,0.2774,0.86
397,0.2779,0.86
398,0.2777,0.86
399,0.278,0.86
400,0.2777,0.86
401,0.2779,0.86
